"age","body_type","diet","drinks","drugs","education","ethnicity","height","income","job","last_online","location","offspring","orientation","pets","religion","sex","sign","smokes","speaks","status","essay0"
22,"average",NA,"often",NA,"working on college/university","white",64,NA,"student",2012-06-30 02:59:00,"san francisco, california",NA,"gay",NA,"atheism","f",NA,"no","english","single","i really like this poem that starts:    ""so weasel, it has come to this;  to your thighs like tall glasses of milk,  your biscuit hair,""    "
43,"fit","mostly anything","socially","sometimes","graduated from college/university","white",70,NA,"computer / hardware / software",2012-05-07 17:27:00,"san francisco, california",NA,"straight","likes dogs","atheism and laughing about it","m","capricorn and it's fun to think about","no","english, french (poorly), lisp (poorly)","single","i've sworn off internet dating in the past. not because anything bad came of it, just didn't think it was the best way to meet people. someo"
34,"average",NA,NA,"never",NA,"asian",67,NA,NA,2012-06-28 22:48:00,"san francisco, california",NA,"gay",NA,NA,"m",NA,NA,"english","single","i'm young at heart, a free-spirited creature living in san francisco--the city of my dreams. i've been here three years now, and was thinkin"
19,"athletic",NA,NA,NA,"working on college/university",NA,73,NA,"student",2012-06-30 17:15:00,"san francisco, california","doesn't have kids, and doesn't want any","straight",NA,"agnosticism and laughing about it","m","virgo but it doesn't matter","no","english","single","roaming around through life, trying to find my way. artist at heart who seeks out adventures. i'm into classic cars and all things antique/v"
31,"average",NA,"socially","never","graduated from masters program","black",62,NA,"education / academia",2012-04-30 22:52:00,"san leandro, california",NA,"straight",NA,"christianity","f","sagittarius and it's fun to think about","no","english","single","i love to spend time with friends, find new restaurants/lounges to go to, traveling to see family and trying to relax whenever possible! as "
26,NA,NA,"socially",NA,"graduated from law school",NA,64,NA,"law / legal services",2012-06-29 16:51:00,"san francisco, california",NA,"straight","likes dogs","judaism but not too serious about it","f","virgo but it doesn't matter","no","english (fluently)","single","i'm passionate and overly idealistic about changing the world. at the same time, i can easily laugh at myself and often feel the need to do "
60,"fit","mostly anything","socially",NA,"graduated from college/university","white",63,NA,"other",2012-06-27 14:25:00,"el cerrito, california",NA,"straight","likes dogs and likes cats","judaism but not too serious about it","f","leo but it doesn't matter","no","english (fluently)","single","*****hi all. haven't taken myself off the site, but i am unavailable as i have met someone from okcupid and we've been seeing each other for"
20,"fit","mostly vegetarian","rarely","never","working on college/university","asian",62,NA,"student",2012-06-30 13:41:00,"san francisco, california",NA,"straight","likes dogs and likes cats","atheism","f",NA,"no","english (fluently), chinese (fluently)","single","i make a career out of drawing obese cats."
30,"average","strictly anything","socially","sometimes","graduated from high school","asian",67,NA,"clerical / administrative",2012-06-30 02:04:00,"san bruno, california","doesn't have kids","straight","likes dogs and likes cats",NA,"m","virgo",NA,"english","single"," ""you don't normally approach girls - am i right? the truth is that you're a quiet sensitive type but, if i'm prepared to take a chance, i m"
54,"thin","anything","socially","never",NA,"white",65,NA,NA,2012-03-24 08:00:00,"san francisco, california",NA,"straight",NA,"judaism","f",NA,"no","english, portuguese, spanish","single","high energy, low maintenance. i'm upbeat and eclectic, curious, warm, genuine, and even-keeled. never into drama or games - really! :) a tra"
